freq,peak_mag,dBV
20893,6.95131527823104e-05,-86.1689602273308
24000,1.0733205074743e-05,-102.395711410279
27569,1.01489539366244e-05,-102.881874329317
31668,9.04732504290857e-06,-103.879896087068
33941,1.71067410385947e-05,-98.3469543347994
36377,4.6876856321627e-05,-89.591130374233
41786,1.68522429897843e-05,-98.4771457061934
48000,5.0883490638631e-06,-108.878762026043
55138,1.79218897067167e-05,-97.9426239506415
63336,1.95097408445731e-05,-97.2052699460118
67882,1.83528814656944e-05,-97.7362147631792
72754,0.000659980104210341,-66.6196830870722
6000,4.23742905279652e-06,-110.468251158904
6892,3.09130378556624e-06,-113.207466242224
7917,1.08127884212825e-05,-102.331545855898
8485,8.96879151292974e-06,-103.955621384774
9094,5.03185635299153e-06,-108.975735264945
10447,8.90488345174296e-06,-104.017735161949
12000,2.92204842160526e-05,-93.6965517885912
13784,2.37882701586543e-05,-95.4830427156133
15834,1.25339125231312e-05,-101.048566769839
16971,7.11490549131922e-05,-85.9669172438379
18189,2.41512159846449e-06,-115.351519919795
20893,2.57812545221104e-05,-94.7842190285078
24000,1.17706848199191e-05,-101.594265338921
27569,1.03656884917779e-05,-102.698336889789
31668,1.24983663114163e-05,-101.073234973767
33941,2.21448439218382e-05,-96.1048474826693
36377,2.50828900826613e-05,-95.022748456497
41786,2.17920325977776e-05,-96.2443451591222
48000,1.77346493158564e-05,-98.0338478531665
55138,4.12706443759408e-05,-90.6974749615821
63336,2.3993708520183e-05,-95.40835238338
67882,1.53968670007352e-05,-99.2616527901924
72754,0.000617952649960922,-67.1911959774691
6000,1.11354005738194e-05,-102.076183066068
6892,1.00158526028642e-05,-102.996541463262
7917,9.60485038560978e-06,-103.360487871405
8485,2.28846876074274e-05,-95.8194001892533
9094,1.59323273777013e-05,-98.9647155222701
10447,1.01838541446417e-05,-102.852056544024
12000,1.7357103462856e-05,-98.2207549120137
13784,1.68252550102052e-05,-98.4910668509505
15834,2.94292220245042e-05,-93.6347243272407
16971,4.10645936001045e-05,-90.7409493737313
18189,4.15342580605891e-05,-90.6421708179856
20893,3.26257366548012e-05,-92.7390934292512
24000,1.49396214206871e-05,-99.5235081101174
27569,2.01242016725496e-05,-96.935926738409
31668,1.78556537690723e-05,-97.974784834025
33941,1.89855062406357e-05,-97.4418563183973
36377,4.66595049353988e-05,-89.6314974256356
41786,2.22437770428158e-05,-96.0661292898266
48000,3.14190513271092e-05,-93.0664386020271
55138,5.61408395199292e-05,-88.0247219024824
63336,2.92801837488695e-05,-93.678824000122
67882,2.76205118119337e-05,-94.1856655195506
72754,0.000179954498334297,-77.9070458123994
6000,4.99064631146631e-05,-89.0471641089923
6892,3.43163972582906e-05,-92.3002662221592
7917,3.24993342877778e-05,-92.7728106558966
8485,2.06631376469448e-05,-96.7063745817088
9094,2.92728859001848e-05,-93.68098915761
10447,3.36309895660251e-05,-92.4755070309588
12000,1.99925832250912e-05,-96.992921705172
13784,6.76839349950685e-06,-106.400587962827
15834,3.92889479296435e-05,-91.1248919660325
16971,3.46233454382556e-05,-92.2229193818783
18189,1.46261729062908e-05,-99.7076858922496
20893,3.91104036886939e-05,-91.1644539833567
24000,4.90407027109593e-05,-89.1991662642363
27569,5.38780532272822e-05,-88.3820620567209
31668,3.62567725926917e-05,-91.8225171040683
33941,5.55942731030436e-05,-88.109698832857
36377,3.6897119247111e-05,-91.6704507602456
41786,6.88403646707219e-05,-86.2534367113089
48000,6.5404670724912e-05,-86.6981246850704
55138,7.60555679162047e-05,-85.387679684384
63336,8.35588570439359e-05,-84.5704501392122
67882,8.77220860631733e-05,-84.1481209404533
72754,0.00050457866114871,-68.9517223552966
6000,0.000136018893681769,-80.3383151933792
6892,0.000118079149534334,-81.5668356269988
