6000,1.9366
6894,1.7879
7913.9,1.6694
8483.4,1.4481
9092.7,1.2672
10450,1.1624
12000,1.0029
13781,0.715
15834,1.3346
16974,1.0229
18192,1.1979
20894,1.8107
24000,1.9878
27570,2.0864
31669,1.7159
33940,1.9293
36377,1.6507
41788,2.3404
48000,2.86
55139,3.706
63338,4.188
67881,3.9555
72755,4.2533
6000,1.9375
6894,1.7716
7913.9,1.6918
8483.4,1.4524
9092.7,1.2737
10450,1.1528
12000,1.0014
13781,0.71333
15834,1.3346
16974,1.0195
18192,1.2409
20894,1.8098
24000,2.004
27570,2.0852
31669,1.7167
33940,1.9297
36377,1.6616
41788,2.4268
48000,2.9102
55139,3.7046
63338,4.1888
67881,4.032
72755,4.3394
6000,1.9375
6894,1.7721
7920.5,1.6726
8483.4,1.459
9092.7,1.2625
10450,1.1545
12000,1.0013
13781,0.69112
15834,1.3344
16974,1.0011
18192,1.2373
20894,1.7997
24000,1.9963
27570,2.0866
31669,1.7163
33940,1.9281
36377,1.6641
41788,2.4374
48000,2.8425
55139,3.6842
63338,4.1891
67881,4.6357
72755,4.3377
6000,1.9366
6894,1.7812
7913.9,1.6715
8483.4,1.446
9092.7,1.2736
10450,1.1636
12000,1.003
13781,0.71506
15834,1.3344
16974,0.99866
18192,1.1904
20894,1.7966
24000,1.9924
27570,2.088
31669,1.7131
33940,1.8711
36377,1.6629
41788,2.3679
48000,2.8142
55139,3.695
63338,4.1713
67881,4.5695
72755,4.3431
6000,1.9374
6894,1.7765
7913.9,1.7026
8483.4,1.4634
9092.7,1.2732
10450,1.1594
12000,1.001
13781,0.70975
15834,1.3345
16974,1.0241
18192,1.1939
20894,1.8143
24000,2.0026
27570,2.0849
31669,1.7202
33940,1.9061
36377,1.6634
41788,2.3499
48000,2.8392
55139,3.7045
63338,4.1829
67881,4.0708
72755,4.3066
6000,1.9366
6894,1.7879
7913.9,1.6853
8483.4,1.459
9092.7,1.2707
10450,1.1306
12000,1.0006
13781,0.69104
15834,1.3349
16974,1.0283
18192,1.1911
20894,1.8134
24000,1.9989
27570,2.0882
31669,1.7141
33940,1.8562
36377,1.658
41788,2.3454
48000,2.9255
55139,3.6857
63338,4.1263
67881,4.4268
72755,4.3428
6000,1.9376
6894,1.783
7913.9,1.7006
8483.4,1.4606
9092.7,1.2699
10450,1.1351
12000,1.0016
13781,0.71063
15834,1.3343
16974,0.99807
18192,1.2011
20894,1.8034
24000,1.998
27570,2.0871
31669,1.7142
33940,1.9282
36377,1.6585
41788,2.3444
48000,2.8056
55139,3.6847
63338,4.1129
67881,4.2939
72755,4.2998
6000,1.937
6894,1.7723
7913.9,1.7035
8483.4,1.45
9092.7,1.2734
10450,1.1537
12000,1.0011
13781,0.69269
15834,1.3359
16974,1.0281
18192,1.2402
20894,1.8093
24000,1.9833
27570,2.0849
31669,1.72
33940,1.9022
36377,1.6634
41788,2.3949
48000,2.9043
55139,3.6833
63338,4.1105
67881,3.9685
72755,4.2995
6000,1.937
6894,1.7704
7913.9,1.6742
8483.4,1.4507
9092.7,1.2749
10450,1.1598
12000,1.0011
13781,0.6991
15834,1.3343
16974,1.0268
18192,1.2226
20894,1.8118
24000,2.0011
27570,2.0849
31669,1.7134
33940,1.8563
36377,1.653
41788,2.342
48000,2.9291
55139,3.701
63338,4.1149
67881,4.3568
72755,4.2495
