freq,peak_mag,dbspl
6000,9.09843150668575e-05,20.1546890786322
6892,4.51005195294274e-05,14.0589893717967
7917,4.42039387545363e-05,13.8845778480195
8485,2.63075222696444e-06,-10.6230425881623
9094,1.11886443339248e-05,1.95090785088426
10447,6.04010932888053e-05,16.5962544703332
12000,1.98696621937836e-05,6.93916815144091
13784,5.31798567775509e-05,15.4903017450687
15834,1.72223172629642e-05,5.69719018523544
16971,4.29230967093231e-05,13.62917941426
18189,5.01379035909011e-05,14.9786818958694
20893,5.69538511788042e-05,16.0858203995369
24000,5.52902068980993e-05,15.828322779484
27569,4.0949409612246e-05,13.2203113718063
31668,2.23166713340235e-05,7.9479468268657
33941,2.66891809050034e-05,9.50206338628705
36377,4.10475520238106e-05,13.2411037169304
41786,4.40701403741544e-06,-6.1417528453664
48000,4.26163483415066e-05,13.5668831510778
55138,6.05614763442463e-05,16.6192875513918
63336,1.89671830107336e-05,6.5354151706161
67882,3.06354149010937e-05,10.6998338064794
72754,9.41441137152418e-05,20.451221903501
6000,0.000538344939212021,35.5965711729368
6892,7.74228463344135e-05,18.7527411469002
7917,4.08807977010458e-05,13.2057457083975
8485,4.64702944655989e-05,14.3188669668334
9094,6.7428344396469e-05,17.5522084046563
10447,6.92091906798445e-05,17.7786338918492
12000,0.000104977401197927,21.3972748226609
13784,5.72927123645914e-05,16.1373461417974
15834,5.78681013283524e-05,16.2241431427312
16971,0.000113853799671383,22.1023090579441
18189,0.000123586139692554,22.8147538163004
20893,7.02346679860209e-05,17.906389152944
24000,0.000220672407693232,27.8503191476774
27569,1.71384968406556e-05,5.65481305298478
31668,1.54940734659279e-05,4.77867069500641
33941,1.18523786846042e-05,2.45146885329004
36377,6.13640092092757e-06,-3.26636699350026
41786,8.76571360753057e-05,19.8311040242379
48000,8.26400934611174e-05,19.319174471183
55138,4.90641487671262e-05,14.7906438477777
63336,3.75250053265112e-05,12.461773728943
67882,1.62173826768654e-05,5.17497377273077
72754,0.000114460087021722,22.1484399128711
6000,5.19633450239906e-05,15.2893004784274
6892,0.000125379961574691,22.9399211257993
7917,5.49476495999333e-05,15.7743408796504
8485,0.000131388614137666,23.3465131137812
9094,7.28645463756261e-05,18.2256837878995
10447,0.000111792318900977,21.9435977734935
12000,6.55742002258496e-05,17.310018526363
13784,0.000182546837811221,26.2028447623995
15834,0.000102237185906527,21.1675362169085
16971,5.22468401617814e-05,15.3365590750781
18189,0.000145336374802689,24.2228449411043
20893,0.000176318694782602,25.9013257231867
24000,0.000153292102437075,24.6857540919102
27569,7.78634765121656e-05,18.8020342887161
31668,8.68913656239688e-05,19.7548909346098
